tamaño_pagina marcos_asignados numero_hits numero_fallas
256 1 584962 171794
256 2 598904 157852
256 3 722456 34300
256 4 735421 21335
256 5 749114 7642
256 6 750738 6018
256 7 755791 965
256 8 756536 220
512 1 585326 171430
512 2 599135 157621
512 3 727734 29022
512 4 745708 11048
512 5 756346 410
512 6 756646 110
512 7 756646 110
512 8 756646 110
1024 1 586901 169855
1024 2 598161 158595
1024 3 738213 18543
1024 4 756591 165
1024 5 756701 55
1024 6 756701 55
1024 7 756701 55
1024 8 756701 55
2048 1 592436 164320
2048 2 603553 153203
2048 3 740892 15864
2048 4 756728 28
2048 5 756728 28
2048 6 756728 28
2048 7 756728 28
2048 8 756728 28
4096 1 603883 152873
4096 2 615049 141707
4096 3 751913 4843
4096 4 756742 14
4096 5 756742 14
4096 6 756742 14
4096 7 756742 14
4096 8 756742 14
256 1 654940 218996
256 2 670745 203191
256 3 691160 182776
256 4 834337 39599
256 5 849497 24439
256 6 863833 10103
256 7 870759 3177
256 8 873361 575
512 1 676222 197714
512 2 691382 182554
512 3 844823 29113
512 4 864718 9218
512 5 871552 2384
512 6 873808 128
512 7 873809 127
512 8 873809 127
1024 1 678322 195614
1024 2 691716 182220
1024 3 855584 18352
1024 4 872708 1228
1024 5 873872 64
1024 6 873872 64
1024 7 873872 64
1024 8 873872 64
2048 1 684134 189802
2048 2 696932 177004
2048 3 864069 9867
2048 4 873356 580
2048 5 873904 32
2048 6 873904 32
2048 7 873904 32
2048 8 873904 32
4096 1 695550 178386
4096 2 708532 165404
4096 3 867982 5954
4096 4 873660 276
4096 5 873920 16
4096 6 873920 16
4096 7 873920 16
4096 8 873920 16
256 1 413807 121273
256 2 423112 111968
256 3 508193 26887
256 4 520067 15013
256 5 528128 6952
256 6 533426 1654
256 7 534915 165
256 8 534923 157
512 1 414056 121024
512 2 422429 112651
512 3 516200 18880
512 4 530025 5055
512 5 535000 80
512 6 535001 79
512 7 535001 79
512 8 535001 79
1024 1 415917 119163
1024 2 423708 111372
1024 3 521790 13290
1024 4 535040 40
1024 5 535040 40
1024 6 535040 40
1024 7 535040 40
1024 8 535040 40
2048 1 421689 113391
2048 2 429222 105858
2048 3 528199 6881
2048 4 535060 20
2048 5 535060 20
2048 6 535060 20
2048 7 535060 20
2048 8 535060 20
4096 1 433085 101995
4096 2 441095 93985
4096 3 531855 3225
4096 4 535070 10
4096 5 535070 10
4096 6 535070 10
4096 7 535070 10
4096 8 535070 10
256 1 549776 161200
256 2 563614 147362
256 3 678127 32849
256 4 691127 19849
256 5 703617 7359
256 6 709524 1452
256 7 710769 207
256 8 710769 207
512 1 550826 160150
512 2 562559 148417
512 3 686211 24765
512 4 704989 5987
512 5 710158 818
512 6 710872 104
512 7 710872 104
512 8 710872 104
1024 1 553551 157425
1024 2 564132 146844
1024 3 696863 14113
1024 4 708934 2042
1024 5 710922 54
1024 6 710922 54
1024 7 710922 54
1024 8 710922 54
2048 1 559337 151639
2048 2 569525 141451
2048 3 702447 8529
2048 4 709980 996
2048 5 710950 26
2048 6 710950 26
2048 7 710950 26
2048 8 710950 26
4096 1 559968 151008
4096 2 579790 131186
4096 3 704113 6863
4096 4 710963 13
4096 5 710963 13
4096 6 710963 13
4096 7 710963 13
4096 8 710963 13
